country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Italy,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,0.9,-4.66
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,1.77,-4.65
Bangladesh,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.02,-4.65
Pakistan,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.09,-4.65
Pakistan,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,3.29,-4.65
Turkmenistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.33,-4.65
Sweden,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,0.16,-4.65
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Replace with electric motor,14.4,-4.64
Other EU7 countries,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,1.29,-4.64
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with electric motor,20.11,-4.64
Indonesia,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.23,-4.64
Indonesia,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,2.19,-4.64
India,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,37.94,-4.64
China,Asia Pacific,Unconventional gas,Upstream,Gas,Replace with electric motor,35.34,-4.63
New Zealand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.08,-4.63
New Zealand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.47,-4.63
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.12,-4.63
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.05,-4.63
United Kingdom,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.01,-4.63
Denmark,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,0.18,-4.62
Germany,Europe,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.16,-4.62
Germany,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.68,-4.62
Germany,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.15,-4.62
Germany,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,1.04,-4.61
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Replace with instrument air systems,3.19,-4.6
France,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,1.85,-4.6
Israel,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.04,-4.6
Other,Other,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.15,-4.59
Other,Other,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,5.53,-4.59
Poland,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.26,-4.58
Poland,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,3.8,-4.58
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,0.06,-4.58
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,0.01,-4.58
China,Asia Pacific,Offshore gas,Upstream,Gas,Associated gas utilisation,13.03,-4.56
Brunei,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,0.01,-4.55
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,0.66,-4.55
Italy,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.04,-4.55
Italy,Europe,Downstream gas,Downstream,Gas,Annual LDAR,1.16,-4.55
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,21.37,-4.55
Malaysia,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,0.5,-4.55
France,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.2,-4.55
France,Europe,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.01,-4.55
Philippines,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,0.3,-4.55
Ukraine,Europe,Offshore gas,Upstream,Gas,Replace with electric motor,0.13,-4.55
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,25.6,-4.55
Thailand,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,1.4,-4.55
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,6.82,-4.55
Other countries in Southeast Asia,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,1.27,-4.55
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,1.03,-4.55
Viet Nam,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,0.28,-4.55
Viet Nam,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,2.09,-4.55
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Vapour recovery units,1.56,-4.54
Brazil,Central and South America,Offshore gas,Upstream,Gas,Quarterly LDAR,6.54,-4.53
Brazil,Central and South America,Offshore oil,Upstream,Oil,Quarterly LDAR,55.83,-4.53
China,Asia Pacific,Offshore gas,Upstream,Gas,Quarterly LDAR,5.15,-4.53
China,Asia Pacific,Offshore oil,Upstream,Oil,Quarterly LDAR,18.59,-4.53
New Zealand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.5,-4.53
New Zealand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.09,-4.53
Romania,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,4.74,-4.53
Other EU17 countries,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.39,-4.52
Other EU17 countries,Europe,Downstream gas,Downstream,Gas,Annual LDAR,5.71,-4.52
China,Asia Pacific,Offshore gas,Upstream,Gas,Replace with electric motor,0.67,-4.52
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Biannual LDAR,3.22,-4.51
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Biannual LDAR,0.78,-4.51
Germany,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.52,-4.5
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,4.7,-4.5
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,0.46,-4.49
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.05,-4.48
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.2,-4.48
Italy,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,3.48,-4.48
Italy,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,0.11,-4.48
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Replace with electric motor,0.01,-4.48
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.05,-4.48
Azerbaijan,Russia & Caspian,Downstream gas,Downstream,Gas,Continuous LDAR,1.95,-4.47
Azerbaijan,Russia & Caspian,Downstream oil,Downstream,Oil,Continuous LDAR,0.04,-4.47
Benin,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.04,-4.46
Benin,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.02,-4.46
Angola,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.36,-4.46
Angola,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.46,-4.46
Cameroon,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.18,-4.46
Cameroon,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.1,-4.46
Democratic Republic of Congo,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Cote d'Ivoire,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.02,-4.46
Cote d'Ivoire,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.39,-4.46
Congo,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-4.46
Colombia,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,1.87,-4.46
Colombia,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.36,-4.46
Congo,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.29,-4.46
Kenya,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-4.46
Ghana,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.6,-4.46
Ghana,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.04,-4.46
India,Asia Pacific,Offshore oil,Upstream,Oil,Quarterly LDAR,24.03,-4.46
India,Asia Pacific,Offshore gas,Upstream,Gas,Quarterly LDAR,23.59,-4.46
Ethiopia,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-4.46
Gabon,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.07,-4.46
Gabon,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.18,-4.46
Equatorial Guinea,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.58,-4.46
Tanzania,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.07,-4.46
Togo,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Togo,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.04,-4.46
South Sudan,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Sudan,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.09,-4.46
Tanzania,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.4,-4.46
Senegal,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Other,Other,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Other,Other,Downstream oil,Downstream,Oil,Continuous LDAR,0.09,-4.46
Other,Other,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-4.46
Other,Other,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Niger,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.04,-4.46
Niger,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.01,-4.46
Nigeria,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,7.31,-4.46
Nigeria,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.66,-4.46
Mozambique,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-4.46
Namibia,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.46
Mozambique,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.29,-4.46
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.31,-4.44
Other EU17 countries,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,1.18,-4.44
Other EU17 countries,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,17.12,-4.44
Estonia,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,0.05,-4.44
Egypt,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,9.5,-4.43
Egypt,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.29,-4.43
Libya,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.21,-4.43
Libya,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,1.5,-4.43
Algeria,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.28,-4.43
Algeria,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,13.65,-4.43
Morocco,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.14,-4.43
Morocco,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.19,-4.43
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.15,-4.43
Netherlands,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.01,-4.43
Tunisia,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,1.33,-4.43
Tunisia,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.06,-4.43
Ukraine,Europe,Downstream gas,Downstream,Gas,Replace with electric motor,14.33,-4.43
Turkmenistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Blowdown capture,351.59,-4.42
Norway,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.05,-4.42
Norway,Europe,Offshore oil,Upstream,Oil,Annual LDAR,0.03,-4.42
Other,Other,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.05,-4.42
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,6.82,-4.42
Azerbaijan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.01,-4.42
Kazakhstan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Blowdown capture,16.99,-4.42
India,Asia Pacific,Unconventional gas,Upstream,Gas,Vapour recovery units,5.31,-4.42
Guyana,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.41
Ecuador,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,2.6,-4.41
Ecuador,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,0.1,-4.41
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.33,-4.41
Kuwait,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,9.03,-4.41
Iran,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,35.9,-4.41
Iraq,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,4.99,-4.41
Bahrain,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,12.2,-4.41
Bolivia,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,1.37,-4.41
Bolivia,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.19,-4.41
Botswana,Africa,Unconventional gas,Upstream,Gas,Blowdown capture,0.01,-4.41
Angola,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,2.92,-4.41
Argentina,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,12.39,-4.41
Argentina,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.42,-4.41
Congo,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.42,-4.41
Cuba,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,0.17,-4.41
Cuba,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.1,-4.41
Cameroon,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.06,-4.41
Other,Other,Downstream oil,Downstream,Oil,Continuous LDAR,0.43,-4.41
Peru,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.14,-4.41
Peru,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,1.24,-4.41
Oman,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,17.78,-4.41
Oman,Middle East,Unconventional gas,Upstream,Gas,Blowdown capture,11.87,-4.41
Other,Other,Downstream gas,Downstream,Gas,Continuous LDAR,0.71,-4.41
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,38.13,-4.41
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,3.8,-4.41
Trinidad and Tobago,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.01,-4.41
Trinidad and Tobago,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,2.47,-4.41
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,1.12,-4.41
United Arab Emirates,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,21.97,-4.41
Saudi Arabia,Middle East,Unconventional gas,Upstream,Gas,Blowdown capture,1.66,-4.41
Saudi Arabia,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,15.72,-4.41
Syria,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,10.75,-4.41
Qatar,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,1.35,-4.41
Poland,Europe,Onshore conventional oil,Upstream,Oil,Replace with electric motor,0.36,-4.41
Yemen,Middle East,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.07,-4.41
Uzbekistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Blowdown capture,75.73,-4.41
Uruguay,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.07,-4.41
Uruguay,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,0.03,-4.41
Venezuela,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,10.41,-4.41
Venezuela,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,0.38,-4.41
Poland,Europe,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.72,-4.4
Other,Other,Onshore conventional gas,Upstream,Gas,Blowdown capture,12.07,-4.4
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.72,-4.4
India,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,75.26,-4.4
Other,Other,Downstream oil,Downstream,Oil,Continuous LDAR,0.12,-4.39
Other,Other,Downstream gas,Downstream,Gas,Continuous LDAR,1.48,-4.39
Poland,Europe,Unconventional gas,Upstream,Gas,Replace with electric motor,0.17,-4.39
Turkmenistan,Russia & Caspian,Downstream oil,Downstream,Oil,Continuous LDAR,0.18,-4.39
Turkmenistan,Russia & Caspian,Downstream gas,Downstream,Gas,Continuous LDAR,30.24,-4.39
Romania,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.2,-4.38
Romania,Europe,Downstream gas,Downstream,Gas,Annual LDAR,0.83,-4.38
India,Asia Pacific,Offshore oil,Upstream,Oil,Other,1.96,-4.38
Colombia,Central and South America,Onshore conventional gas,Upstream,Gas,Blowdown capture,6.42,-4.38
China,Asia Pacific,Downstream gas,Downstream,Gas,Replace with electric motor,47.85,-4.37
Azerbaijan,Russia & Caspian,Offshore gas,Upstream,Gas,Biannual LDAR,0.84,-4.37
Azerbaijan,Russia & Caspian,Offshore oil,Upstream,Oil,Biannual LDAR,1.83,-4.37
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Continuous LDAR,0.06,-4.37
United Kingdom,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.01,-4.37
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.13,-4.37
Other,Other,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.42,-4.37
Nigeria,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,9.27,-4.36
Nigeria,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,1.52,-4.36
Mozambique,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.35,-4.36
Mozambique,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.01,-4.36
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.09,-4.36
Tanzania,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.04,-4.36
South Africa,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.01,-4.36
Senegal,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.02,-4.36
Angola,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,8.07,-4.36
Cameroon,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.25,-4.36
Cameroon,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.79,-4.36
Congo,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.06,-4.36
Congo,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,1.91,-4.36
Cote d'Ivoire,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.16,-4.36
Cote d'Ivoire,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.16,-4.36
Democratic Republic of Congo,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.14,-4.36
Ghana,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.65,-4.36
Ghana,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.14,-4.36
Gabon,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,1.03,-4.36
Gabon,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.02,-4.36
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.7,-4.36
Equatorial Guinea,Africa,Offshore gas,Upstream,Gas,Biannual LDAR,0.77,-4.36
Equatorial Guinea,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.38,-4.35
Gabon,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.12,-4.35
Ethiopia,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.02,-4.35
Gabon,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.04,-4.35
Ghana,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.4,-4.35
Ghana,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.03,-4.35
Indonesia,Asia Pacific,Downstream gas,Downstream,Gas,Continuous LDAR,9.86,-4.35
Indonesia,Asia Pacific,Downstream oil,Downstream,Oil,Continuous LDAR,1.03,-4.35
Iran,Middle East,Offshore oil,Upstream,Oil,Continuous LDAR,50.39,-4.35
Iran,Middle East,Offshore gas,Upstream,Gas,Continuous LDAR,112.47,-4.35
Kenya,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.02,-4.35
Kuwait,Middle East,Offshore oil,Upstream,Oil,Continuous LDAR,1.76,-4.35
Democratic Republic of Congo,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.01,-4.35
Cote d'Ivoire,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.26,-4.35
Cote d'Ivoire,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.01,-4.35
Congo,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.02,-4.35
Congo,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.2,-4.35
Cameroon,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.06,-4.35
Cameroon,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.12,-4.35
Angola,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.24,-4.35
Angola,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.31,-4.35
Azerbaijan,Russia & Caspian,Downstream oil,Downstream,Oil,Biannual LDAR,0.03,-4.35
Azerbaijan,Russia & Caspian,Downstream gas,Downstream,Gas,Biannual LDAR,1.3,-4.35
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Continuous LDAR,7.97,-4.35
Benin,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.01,-4.35
Benin,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.03,-4.35
Bangladesh,Asia Pacific,Downstream oil,Downstream,Oil,Continuous LDAR,0.08,-4.35
Senegal,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.01,-4.35
Saudi Arabia,Middle East,Offshore oil,Upstream,Oil,Continuous LDAR,42.11,-4.35
Saudi Arabia,Middle East,Offshore gas,Upstream,Gas,Continuous LDAR,7.58,-4.35
South Sudan,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.01,-4.35
Sudan,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.06,-4.35
Tanzania,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.27,-4.35
Qatar,Middle East,Offshore gas,Upstream,Gas,Continuous LDAR,60,-4.35
